CS208, 11-03-2026 10:21:19, 0.0
CS208, 11-03-2026 10:26:29, 0.0
CS208, 11-03-2026 11:43:22, 0.0
CS208, 11-03-2026 12:09:08, 0.0
CS208, 11-03-2026 14:01:10, 0.0
CS208, 11-03-2026 14:01:48, -113.0
CS208, 11-03-2026 14:07:36, -113.0
CS208, 11-03-2026 14:10:25, -113.0
CS208, 11-03-2026 14:11:39, -113.0
CS208, 11-03-2026 14:39:27, 0.0
CS208, 11-03-2026 14:40:46, 0.0
CS208, 11-03-2026 14:52:36, 0.0
CS208, 11-03-2026 14:56:31, 6.0
CS208, 11-03-2026 15:05:27, -518.0
CS208, 11-03-2026 15:06:40, 0.0
CS208, 11-03-2026 15:07:09, 0.0
CS208, 11-03-2026 15:16:41, 0.0
CS208, 11-03-2026 15:20:45, 0.0
CS208, 11-03-2026 15:21:58, 0.0
CS208, 11-03-2026 15:28:44, 37.0
CS208, 11-03-2026 15:32:07, 37.0
CS208, 11-03-2026 15:32:17, 37.0
CS208, 11-03-2026 15:33:25, -55663.0
CS208, 11-03-2026 15:33:44, -55663.0
CS208, 11-03-2026 15:48:13, -55663.0
CS208, 11-03-2026 15:50:39, 0.0
CS208, 11-03-2026 15:50:54, 0.0
CS208, 11-03-2026 17:33:32, 0.0
CS208, 11-03-2026 17:37:24, 0.0
CS208, 11-03-2026 17:37:34, 0.0
CS208, 11-03-2026 17:38:55, 0.0
CS208, 11-03-2026 17:44:30, 0.0
CS208, 11-03-2026 17:45:36, 0.0
CS208, 11-03-2026 17:59:49, 0.0
CS208, 11-03-2026 18:02:39, 0.0
CS208, 11-03-2026 18:03:07, 0.0
CS208, 11-03-2026 18:04:37, 0.0
CS208, 11-03-2026 18:05:26, 0.0
CS208, 11-03-2026 18:06:39, 0.0
CS208, 11-03-2026 18:08:55, 0.0
CS208, 11-03-2026 18:10:04, 0.0
CS208, 12-03-2026 09:09:13, 0.0
CS208, 12-03-2026 09:10:56, 0.0
CS208, 12-03-2026 09:12:08, 0.0
CS208, 12-03-2026 09:13:40, 0.0
CS208, 12-03-2026 09:15:02, 0.0
CS208, 12-03-2026 09:18:00, 0.0
CS208, 12-03-2026 09:18:36, 0.0
CS208, 12-03-2026 09:18:57, 0.0
CS208, 12-03-2026 09:24:25, -60.0
CS208, 12-03-2026 09:25:16, -60.0
CS208, 12-03-2026 09:26:10, -61.0
CS208, 12-03-2026 09:26:54, -25.0
CS208, 12-03-2026 09:40:27, 16.0
CS208, 12-03-2026 09:41:23, 18.0
CS208, 12-03-2026 09:41:31, 18.0
CS208, 12-03-2026 09:41:37, 19.0
CS208, 12-03-2026 09:44:00, 5.0
CS208, 12-03-2026 09:48:41, 6.0
CS208, 12-03-2026 09:48:50, 7.0
CS208, 12-03-2026 09:48:56, 6.0
CS208, 12-03-2026 09:48:59, 5.0
CS208, 12-03-2026 09:49:06, 5.0
CS208, 12-03-2026 09:49:17, 7.0
CS208, 12-03-2026 09:50:33, 8.0
CS208, 12-03-2026 09:51:32, 15.0
CS208, 12-03-2026 09:52:24, -1.0
CS208, 12-03-2026 09:53:33, 15.0
CS208, 12-03-2026 10:06:33, 35.0
CS208, 16-03-2026 18:57:12, 0.0
CS208, 16-03-2026 18:59:07, 0.0
CS208, 16-03-2026 19:00:51, 0.0
CS208, 16-03-2026 19:04:32, 44.0
CS208, 16-03-2026 19:04:42, 41.0
CS208, 16-03-2026 19:04:50, 40.0
CS208, 16-03-2026 19:04:57, 40.0
CS208, 16-03-2026 19:05:03, 40.0
CS208, 16-03-2026 19:05:12, 40.0
CS208, 16-03-2026 22:18:57, 52.0
CS208, 16-03-2026 22:19:56, 52.0
CS208, 16-03-2026 22:20:26, 56.0
CS208, 16-03-2026 22:20:57, 59.0
CS208, 16-03-2026 22:21:44, 62.0
CS208, 16-03-2026 22:23:24, 60.0
CS208, 16-03-2026 22:23:58, 60.0
CS208, 16-03-2026 22:24:30, 60.0
CS208, 16-03-2026 22:24:37, 60.0
CS208, 16-03-2026 22:24:43, 60.0
CS208, 16-03-2026 22:25:21, 60.0
CS208, 16-03-2026 22:25:28, 59.0
CS208, 16-03-2026 22:25:33, 60.0
CS208, 16-03-2026 22:25:39, 58.0
CS208, 16-03-2026 22:25:45, 60.0
CS208, 16-03-2026 22:26:20, 60.0
CS208, 16-03-2026 22:26:58, 60.0
CS208, 16-03-2026 22:27:03, 59.0
CS208, 16-03-2026 22:31:14, 59.0
CS208, 16-03-2026 22:31:21, 60.0
CS208, 16-03-2026 22:31:27, 60.0
CS208, 16-03-2026 22:31:33, 60.0
CS208, 16-03-2026 22:42:56, 60.0
CS208, 16-03-2026 22:43:04, 59.0
CS208, 16-03-2026 22:43:09, 59.0
CS208, 16-03-2026 22:43:15, 60.0
CS208, 16-03-2026 22:43:19, 60.0
CS208, 16-03-2026 22:43:24, 60.0
CS208, 16-03-2026 22:43:29, 59.0
CS208, 16-03-2026 23:04:01, 48.0
CS208, 16-03-2026 23:06:05, -214.0
CS208, 16-03-2026 23:07:19, -224.0
CS208, 16-03-2026 23:07:47, 59.0
CS208, 16-03-2026 23:08:43, 48.0
CS208, 16-03-2026 23:08:50, 48.0
CS208, 16-03-2026 23:20:15, 60.0
CS208, 16-03-2026 23:58:54, 60.0
CS208, 16-03-2026 23:59:05, 59.0
CS208, 16-03-2026 23:59:53, 63.0
CS208, 16-03-2026 23:59:59, 62.0
CS208, 17-03-2026 00:00:05, 63.0
CS208, 17-03-2026 00:00:10, 61.0
CS208, 17-03-2026 00:00:16, 61.0
CS208, 17-03-2026 00:00:21, 63.0
CS208, 17-03-2026 00:00:38, 63.0
CS208, 17-03-2026 00:00:43, 63.0
CS208, 17-03-2026 00:00:48, 61.0
CS208, 17-03-2026 00:00:53, 60.0
CS208, 17-03-2026 00:01:02, 62.0
CS208, 17-03-2026 00:01:02, 62.0
CS208, 17-03-2026 00:01:10, 63.0
CS208, 17-03-2026 00:04:48, 82.0
CS208, 17-03-2026 00:04:55, 82.0
CS208, 17-03-2026 00:06:09, 80.0
